Name,C,254	Shape_Leng,N,19,11	Shape_Area,N,19,11	X_Cent,N,19,11	Y_Cent,N,19,11
37SDC1	2,04980283045	0,2587724271	38,1380114325	38,6201227152
37SDC2	2,04274876164	0,2571875781	38,1433509875	38,1695620692
37SDC3	2,04996776277	0,2588146681	38,7123588767	38,6229348471
37SDC4	2,042927055	0,25723210715	38,7141439049	38,1723279534
37SDD1	2,06435105055	0,26203981635	38,1269644879	39,5211372922
37SDD2	2,05701697856	0,26039371645	38,1325490381	39,070646725
37SDD3	2,06452933004	0,2620853315	38,7086606018	39,5240425824
37SDD4	2,05715856664	0,2604295422	38,7105300943	39,0735070218
37SDE2	2,07189560695	0,2637349907	38,1212518814	39,9715897042
37SDE4	2,07206010747	0,2637769008	38,7067500329	39,9745405974
37SEA1	2,02272511564	0,2526915786	39,2807285172	36,8203077105
37SEA3	2,02256801355	0,2526527529	39,8413242966	36,8176674045
37SEB1	2,03604641381	0,2556859686	39,284109295	37,7216901054
37SEB2	2,02931570887	0,2541733836	39,2823997905	37,2710143843
37SEB3	2,03586498872	0,2556408717	39,851425699	37,7189660513
37SEB4	2,02915143133	0,2541328332	39,8463193755	37,2683344141
37SEC1	2,04996776277	0,2588146681	39,2876411233	38,6229348471
37SEC2	2,042927055	0,25723210715	39,2858560951	38,1723279534
37SEC3	2,04980283045	0,2587724271	39,8619885675	38,6201227152
37SEC4	2,04274876164	0,2571875781	39,8566490125	38,1695620692
37SED1	2,06452933004	0,2620853315	39,2913393982	39,5240425824
37SED2	2,05715856664	0,2604295422	39,2894699057	39,0735070218
37SED3	2,06435105055	0,26203981635	39,8730355121	39,5211372922
37SED4	2,05701697856	0,26039371645	39,8674509619	39,070646725
37SEE2	2,07206010747	0,2637769008	39,2932499671	39,9745405974
37SEE4	2,07189560695	0,2637349907	39,8787481186	39,9715897042
37SFA1	2,02225361416	0,252574457	40,4018120701	36,8123865572
37SFB1	2,0355624716	0,25556487	40,4186285744	37,7135151998
37SFB2	2,02884262059	0,2540556327	40,410124676	37,2629678989
